,DonchBreak,DonchStop,atr,Portfolio,Symbol,Num.Txns,Num.Trades,Net.Trading.PL,Avg.Trade.PL,Med.Trade.PL,Largest.Winner,Largest.Loser,Gross.Profits,Gross.Losses,Std.Dev.Trade.PL,Percent.Positive,Percent.Negative,Profit.Factor,Avg.Win.Trade,Med.Win.Trade,Avg.Losing.Trade,Med.Losing.Trade,Avg.Daily.PL,Med.Daily.PL,Std.Dev.Daily.PL,Ann.Sharpe,Max.Drawdown,Profit.To.Max.Draw,Avg.WinLoss.Ratio,Med.WinLoss.Ratio,Max.Equity,Min.Equity,End.Equity
1,40,20,1,portf.1,CC,277,117,-56972.0746780001,-483.163031435899,-1202.99139999999,22013.98144,-23709.0268000001,101311.302193,-157841.376871,4171.19626613526,17.0940170940171,82.9059829059829,0.641855159916649,5065.56510964999,2883.0776,-1627.23068939175,-1262.07119999999,-483.163031435899,-1202.99139999999,4171.19626613526,-1.83879512108964,-61056.4861130001,-0.933104380958957,3.11299752559575,2.2844017041194,1580,-59476.4861130001,-56972.0746780001
2,40,20,1,portf.1,CO,285,125,-47778.369839,-382.226958712,-515.725968999985,11255.6734,-4489.7,38330.812301,-86109.18214,1596.52293881491,16,84,0.445141985423577,1916.54061505,1138.519898,-820.087448952381,-578.176800000002,-382.226958712,-515.725968999985,1596.52293881491,-3.80054975428228,-51064.145671,-0.935653954671643,2.33699542347378,1.96915527914644,3036.47753299998,-48027.668138,-47778.369839
3,40,20,1,portf.1,CT,287,130,-18516.7905149999,-163.64069626923,-283.663098000001,13169.6747000001,-3080,39480.68635,-60753.9768649999,1575.73460652034,16.1538461538462,83.8461538461539,0.649845300460399,1880.03268333333,653.343599999993,-557.375934541284,-340.271249999996,-163.64069626923,-283.663098000001,1575.73460652034,-1.64857426462411,-49444.310965,-0.374497897808857,3.37300655953255,1.92006700536704,28171.0204500001,-21273.2905149999,-18516.7905149999
4,40,20,1,portf.1,HG,335,84,1120130.1,13334.8821428572,-21885,638519.600000001,-336354.999999999,4045939,-2925808.9,151873.066600072,26.1904761904762,73.8095238095238,1.38284458701319,183906.318181818,101510,-47190.4661290322,-30770,13334.8821428572,-21885,151873.066600072,1.39382641183883,-2353725,0.475896759392028,3.89710747249171,3.29899252518687,2871360,-400,1120130.1
5,40,20,1,portf.1,KC,286,128,-978545.850560999,-7644.88945750781,-5297.50500000002,74780.564,-121549.5962,313208.40575,-1291754.256311,18819.4675522951,12.5,87.5,0.242467484987789,19575.525359375,13612.7995999998,-11533.5201456339,-6705.89139999993,-7644.88945750781,-5297.50500000002,18819.4675522951,-6.4485808375631,-999845.850560999,-0.97869671611074,1.69727239491452,2.02997614903216,21300,-978545.850560999,-978545.850560999
6,40,20,1,portf.1,LB,294,136,-206032.797121999,-1514.94703766176,-4436.52315000002,116180,-61854.1794,731734.568348,-937767.36547,20732.0320918578,24.2647058823529,75.7352941176471,0.780294340890464,22173.7747984242,13164.176,-9104.53752883495,-6013.63440000001,-1514.94703766176,-4436.52315000002,20732.0320918578,-1.15999428131153,-577476.384199999,-0.356781338179612,2.43546415490054,2.18905492492194,38279.4068000001,-539196.977399999,-206032.797121999
7,40,20,1,portf.1,LC,298,137,-108749.621788999,-954.756363423359,-5168.86700000001,327821.628,-33235,815006.82226,-945808.444049,34298.5782081765,16.0583941605839,83.9416058394161,0.861703897219357,37045.7646481818,13085.4946999999,-8224.4212526,-5620.24080000006,-954.756363423359,-5168.86700000001,34298.5782081765,-0.441892585449345,-596214.214175,-0.182400250117283,4.50436128091937,2.32828008009902,87165.3198749999,-509048.8943,-108749.621788999
8,40,20,1,portf.1,LSU,339,148,264264.529193,1785.57114319595,-6149.48653499993,772306.5,-164193,1942851.012887,-1678586.483694,74105.4756044645,16.8918918918919,83.1081081081081,1.15743277558833,77714.04051548,25889.1360000007,-13647.0445828781,-8363.27117999998,1785.57114319595,-6149.48653499993,74105.4756044645,0.382496204598288,-811462.538621999,0.32566448432945,5.69456925589458,3.09557533682661,1075437.835685,-153511.210721,264264.529193
9,40,20,1,portf.1,NG,353,167,-541356.915569999,-3315.43063215568,-4532.99339999999,98637,-87642.0664000001,716735.73063,-1270412.6462,20634.023458583,14.9700598802395,85.0299401197605,0.564175532079177,28669.4292252,16149.6469000001,-8946.56793098591,-5482.893825,-3315.43063215568,-4532.99339999999,20634.023458583,-2.55068187531429,-722101.854199999,-0.749696060772142,3.20451702220973,2.94546044761319,0,-722101.854199999,-541356.915569999
10,40,20,1,portf.1,OJ,251,119,-184267.267217999,-1548.46443040335,-6884.26689599998,172783.8,-33688.764,888465.423226,-1072732.690444,28316.7771414072,19.327731092437,80.672268907563,0.828226296392877,38628.9314446087,26975,-11174.2988587917,-10359.6129999999,-1548.46443040335,-6884.26689599998,28316.7771414072,-0.868075863948327,-568216.20835,-0.324290762055307,3.45694454146592,2.60386174657298,68630.9100000001,-499585.29835,-184267.267217999
11,40,20,1,portf.1,RR,304,138,385123.315682001,2790.74866436233,-4460.33324999997,133280,-66585,1333948.898904,-948825.583221998,27643.911485169,25.3623188405797,74.6376811594203,1.40589474239745,38112.8256829714,30420,-9211.89886623299,-6783.2856,2790.74866436233,-4460.33324999997,27643.911485169,1.60258658219544,-271715.299267999,1.41737810391805,4.13734738476963,4.48455244166632,598005.91495,-104417.4055,385123.315682001
12,60,20,1,portf.2,CC,223,93,-33588.397393,-353.670939709678,-1676.29374,29306.23616,-21223.9601,124634.971425,-157526.368818,5658.21324222759,17.2043010752688,82.7956989247312,0.791200688241589,7789.68571406249,3547.62537500001,-2045.79699763636,-1778.2128,-353.670939709678,-1676.29374,5658.21324222759,-0.992248237064257,-58366.9929679999,-0.575469039691921,3.80765331216264,1.99505108443714,20899.0247599999,-45090.78595,-33588.397393
13,60,20,1,portf.2,CO,245,108,-57355.3134969998,-531.067717564813,-1055.571368,12447.26316,-4675.0458,59714.6967040002,-117070.010201,2289.23283821999,15.7407407407407,84.2592592592593,0.510076804481991,3512.62921788236,2586.86623200001,-1286.48362858242,-1157.60568000001,-531.067717564813,-1055.571368,2289.23283821999,-3.68264796805128,-69472.9635899998,-0.825577469754806,2.73041112987419,2.2346696087393,10919.722713,-58553.2408769998,-57355.3134969998
14,60,20,1,portf.2,CT,247,111,-35905.6411780001,-353.274244846847,-460.951200000001,4297.5,-2887.5,25205.9606,-64419.401778,1034.09747644025,16.2162162162162,83.7837837837838,0.391279023156159,1400.33114444444,1123.308,-692.681739548387,-545.400000000009,-353.274244846847,-460.951200000001,1034.09747644025,-5.42313941053062,-52876.729728,-0.679044285883414,2.02160828630682,2.059603960396,13663.28855,-39213.4411780001,-35905.6411780001
15,60,20,1,portf.2,HG,273,67,623060.3,9299.40746268657,-8100,319545.1,-130680,1610254.7,-987194.4,71333.0431137724,26.865671641791,73.134328358209,1.63114245785835,89458.5944444445,47875.0000000001,-20146.8244897959,-11375,9299.40746268657,-8100,71333.0431137724,2.06949697468688,-665325,0.936475106151129,4.44033224639218,4.20879120879121,1011122.1,0,623060.3
16,60,20,1,portf.2,KC,239,105,-426089.009039,-4057.99056227619,-3120.00000000001,30170.7320000001,-45268.4543999999,132311.4951,-558400.504138999,8714.67410276956,14.2857142857143,85.7142857142857,0.236947305955627,8820.76633999998,6721.23899999987,-6204.45004598888,-3920.15685999997,-4057.99056227619,-3120.00000000001,8714.67410276956,-7.39196926275272,-437449.009039,-0.974031259037583,1.42168383573376,1.71453317814429,11360,-426089.009039,-426089.009039
17,60,20,1,portf.2,LB,249,113,-117448.582979,-1039.3679909646,-1928.21120000001,50649.6537319997,-23790,234859.12732,-352307.710299,9077.07633225803,20.353982300885,79.646017699115,0.666630676690774,10211.2664052174,4560,-3914.53011443333,-2545.39779999999,-1039.3679909646,-1928.21120000001,9077.07633225803,-1.81770591594602,-226710.5258,-0.518055271428425,2.60855482183347,1.79146850838011,29449.1305999999,-197261.3952,-117448.582979
18,60,20,1,portf.2,LC,248,115,-52832.8232410001,-464.209767313048,-1999.80000000003,57590.2860000001,-12197.506464,206722.088604,-260106.211845,7665.34557561866,16.5217391304348,83.4782608695652,0.794760290950634,10880.1099265263,6700.38129999982,-2709.43970671875,-2221.51440000002,-464.209767313048,-1999.80000000003,7665.34557561866,-0.961352822279008,-97616.0055000004,-0.54123115333786,4.01563094375057,3.01613228345482,22741.4258999997,-77770.9760000004,-52832.8232410001
19,60,20,1,portf.2,LSU,272,117,-209.147668999206,-1.78758691452678,-3542.05237399999,327371.1,-59906.4,701682.253241001,-701891.400910001,34900.6281667034,16.2393162393162,83.7606837606838,0.99970202275063,36930.6449074211,15122.2119400002,-7162.15715214287,-4452.25001450006,-1.78758691452678,-3542.05237399999,34900.6281667034,-0.000813081713055804,-423969.871801999,-0.000493307857254729,5.15635780155588,3.396532515189,423760.724133,-60295.5643989999,-209.147668999206
20,60,20,1,portf.2,NG,291,134,-262406.87013,-2008.40947858209,-1222.40521,57536.81152,-36534.6618400001,103571.48195,-372698.35208,7181.0618200522,6.71641791044776,93.2835820895522,0.277896270192707,11507.9424388889,2657.82,-2981.58681664,-1271.3638,-2008.40947858209,-1222.40521,7181.0618200522,-4.43980470654783,-270146.87013,-0.971348918474327,3.85967041934315,2.09052672413671,0,-270146.87013,-262406.87013
21,60,20,1,portf.2,OJ,198,93,-31105.6434709995,-334.469284634409,-2444.76650000001,103442.5,-13230,277315.15,-308420.793471,14596.2279294092,15.0537634408602,84.9462365591398,0.899145439835837,19808.225,6915.00000000002,-3904.0606768481,-2833.72319999999,-334.469284634409,-2444.76650000001,14596.2279294092,-0.363760782283759,-173878.22555,-0.178893264942222,5.07374926764508,2.44025245655611,39957.55,-133920.67555,-31105.6434709995
22,60,20,1,portf.2,RR,241,106,59000.4038520005,556.607583509437,-1308.4298,57349.0495999998,-19870.99745,347685.423497,-288685.019645,10135.7616418017,26.4150943396226,73.5849056603774,1.2043763958537,12417.3365534643,8950,-3701.08999544871,-2407.31899999998,556.607583509437,-1308.4298,10135.7616418017,0.871752096701921,-80263.4023000001,0.735084760442562,3.35504853130674,3.71782883780674,105949.503852001,-3600,59000.4038520005
23,80,20,1,portf.3,CC,208,87,-35764.6484660001,-403.467223747128,-1608.8592,25924.6466,-22669.0278999999,104653.29807,-139754.946536,5385.64595770882,19.5402298850575,80.4597701149425,0.748834303643355,6156.07635705882,2730.93559999999,-1996.49923622857,-1685.849305,-403.467223747128,-1608.8592,5385.64595770882,-1.18924334564467,-49170.6865560001,-0.727357109916862,3.08343536794323,1.61991679321539,9718.90833999998,-41804.43707,-35764.6484660001
24,80,20,1,portf.3,CO,215,94,-46416.946437,-493.797302521276,-1117.06914,13578.32188,-4944.5,60025.4003780001,-106442.346815,2533.05957004233,17.0212765957447,82.9787234042553,0.563924060057846,3751.58752362501,2874.98224600003,-1364.64547198718,-1204.94773,-493.797302521276,-1117.06914,2533.05957004233,-3.09459329578417,-62499.4153119999,-0.742678090751481,2.749129792782,2.38598088068104,14460.07116,-48039.3441519999,-46416.946437
25,80,20,1,portf.3,CT,205,91,-28577.1100530001,-332.20890168132,-491.2731,5517.50000000002,-3465,25735.7959159999,-55966.805969,1273.71445995354,16.4835164835165,83.5164835164835,0.459840354839169,1715.71972773333,1038.07009999999,-736.405341697369,-607.760249999996,-332.20890168132,-491.2731,1273.71445995354,-4.14037289269405,-48082.6914030001,-0.594332580376668,2.32985779785179,1.70802565649859,17851.68135,-30231.0100530001,-28577.1100530001
26,80,20,1,portf.3,HG,152,40,1440,35.9999999999993,-1000,19765,-6660,67330,-65890,5062.91648492579,27.5,72.5,1.02185460616178,6120.90909090909,3579.99999999999,-2272.06896551724,-1910,35.9999999999993,-1000,5062.91648492579,0.112876103110027,-64620,0.0222841225626741,2.69398032533561,1.87434554973821,65540,-6465,1440
27,80,20,1,portf.3,KC,206,94,-10075.730408,-107.188621361702,-413.689575,12324,-5094.51844999999,45381.03352,-55456.7639279999,2027.82607716897,18.0851063829787,81.9148936170213,0.818313769244066,2669.47256,1620.044978,-720.217713350649,-511.625399999997,-107.188621361702,-413.689575,2027.82607716897,-0.839108754025452,-40605.930972,-0.248134451465914,3.70648001363489,3.16646706359772,6035,-34570.930972,-10075.730408
28,80,20,1,portf.3,LB,159,75,3666.74374000002,48.8899165333345,-487.872000000003,18359.7,-8762.44799999997,57552.8456000001,-53886.10186,2950.0653840869,21.3333333333333,78.6666666666667,1.06804618655709,3597.05285,1855,-913.323760338982,-666.566527999996,48.8899165333345,-487.872000000003,2950.0653840869,0.263080055371609,-35981.6103,0.101906048935226,3.93842031292928,2.78291801654945,13962.6288,-22018.9815,3666.74374000002
29,80,20,1,portf.3,LC,220,107,-15829.2538470001,-184.003306981309,-468.548999999997,12020.092,-3657.5,40445.5603999999,-60133.914247,1777.84486256793,10.2803738317757,89.7196261682243,0.67259151356537,3676.86912727272,3802.5,-626.394940072917,-531.808049999999,-184.003306981309,-468.548999999997,1777.84486256793,-1.64297909542966,-40437.131925,-0.391453426428933,5.86988957293414,7.15013621926184,15510.40965,-24926.7222750001,-15829.2538470001
30,80,20,1,portf.3,LSU,246,117,24621.465254,186.107395333334,-295.216128,9215.7,-5294.44066800001,76812.309142,-55037.743888,2136.48532028112,19.6581196581197,80.3418803418803,1.39562968457266,3339.66561486957,2646,-585.507913702128,-384.984490000004,186.107395333334,-295.216128,2136.48532028112,1.38281470186894,-19812.082993,1.24274995530249,5.70387784129694,6.87300415660894,24797.865254,-10448.307473,24621.465254
31,80,20,1,portf.3,NG,269,134,-37388.14536,-301.583174328358,-795.1348,11532,-8337,72081.3155,-112493.46086,2421.45231347146,8.95522388059701,91.044776119403,0.640760049063709,6006.77629166667,5852,-922.077548032787,-838.670159999999,-301.583174328358,-795.1348,2421.45231347146,-1.97711284529993,-41715.86061,-0.89625731827854,6.51439383214771,6.97771338376938,0,-41715.86061,-37388.14536
32,80,20,1,portf.3,OJ,165,78,35165.591651,450.840918602564,-514.700700000001,20009.785,-5843.81624999998,88260.794001,-53095.20235,3672.84434605274,19.2307692307692,80.7692307692308,1.66231203752066,5884.0529334,4579.99999999999,-842.78098968254,-648.427499999989,450.840918602564,-514.700700000001,3672.84434605274,1.94859270759388,-19281.1284,1.82383473215188,6.98171055758675,7.06324145721775,37727.42815,0,35165.591651
33,80,20,1,portf.3,RR,183,85,23384.7312809999,275.114485658824,-255.17,7083.64600000003,-2780.34980000002,52117.7004000001,-28732.969119,1688.7869858745,27.0588235294118,72.9411764705882,1.81386407315409,2265.98697391305,1360,-463.434985790323,-359.635131000003,275.114485658824,-255.17,1688.7869858745,2.5860615360478,-7706.89890000003,3.03425951013835,4.88954663198059,3.78161053459482,26673.9312809999,-4752.98060000004,23384.7312809999
34,100,20,1,portf.4,CC,186,77,-24068.083713,-302.195892376625,-1775.4786,29916.61608,-18963.59808,110663.31948,-133932.403193,6016.84895193788,19.4805194805195,80.5194805194805,0.826262478994954,7377.55463199999,3059.59224999998,-2160.2000515,-1886.88526000001,-302.195892376625,-1775.4786,6016.84895193788,-0.797296244104262,-54194.172863,-0.444108331975891,3.41521824651248,1.62150413427893,25759.87971,-39689.5649199999,-24068.083713
35,100,20,1,portf.4,CO,192,84,-46100.372125,-548.813953869047,-1293.95774,13548.05636,-5663.95347999998,64073.225666,-110173.597791,2927.3714951756,16.6666666666667,83.3333333333333,0.581566064380936,4576.65897614286,3843.19766200005,-1573.90853987143,-1404.886175,-548.813953869047,-1293.95774,2927.3714951756,-2.97610038296654,-62557.301587,-0.736930317572715,2.90783032190468,2.73559362344786,14119.526912,-48437.774675,-46100.372125
36,100,20,1,portf.4,CT,172,76,-20898.3590580003,-274.978408657898,-671.76405000001,5887.50000000004,-3657.5,36585.80943,-57484.1684880002,1650.84228712308,18.4210526315789,81.5789473684211,0.636450180846528,2613.27210214286,2132.54369999998,-927.164007870971,-956.286449999996,-274.978408657898,-671.76405000001,1650.84228712308,-2.64419378239557,-46104.7174500002,-0.453280276159684,2.81856508660605,2.2300260554774,24456.2808,-21648.4366500002,-20898.3590580003
37,100,20,1,portf.4,HG,126,33,-20080,-608.484848484848,-965,7200,-6660,34540,-54620,3398.76873037513,30.3030303030303,69.6969696969697,0.632369095569389,3454,2687.5,-2374.78260869565,-1670,-608.484848484848,-965,3398.76873037513,-2.84202847564277,-54100,-0.371164510166359,1.45444891980959,1.60928143712575,33355,-20745,-20080
38,100,20,1,portf.4,KC,181,83,-8231.68169599999,-99.1768879036146,-405.124499999998,11835.356913,-5094.51844999999,41489.172991,-49720.854687,2049.21558461684,20.4819277108434,79.5180722891566,0.834442071685621,2440.53958770588,881.504000000001,-753.346283136364,-497.401999999998,-99.1768879036146,-405.124499999998,2049.21558461684,-0.768286313557459,-31100.592313,-0.264679257975391,3.23959863125006,1.77221643660461,0,-31100.592313,-8231.68169599999
39,100,20,1,portf.4,LB,141,67,-2224.07945199997,-33.1952157014913,-474.627700000001,12239.8,-8928.51199999999,46013.8745,-48237.953952,2585.6057040044,20.8955223880597,79.1044776119403,0.953893578193366,3286.70532142857,1215,-910.150074566037,-597.912299999993,-33.1952157014913,-474.627700000001,2585.6057040044,-0.203804358864015,-28448.6132,-0.0781788355152569,3.61116854601774,2.0320705896166,4490.6441,-23957.9691,-2224.07945199997
40,100,20,1,portf.4,LC,165,79,-18121.0267070001,-285.207933000001,-434.200000000019,5435.99999999999,-3465,21254.2001,-43785.6268070001,1264.01248640894,11.3924050632911,88.6075949367088,0.485415001449791,2361.57778888889,1707.5,-625.508954385715,-509.264250000005,-285.207933000001,-434.200000000019,1264.01248640894,-3.5818756734179,-44319.6971070001,-0.408870725430521,3.77545001127616,3.35287623272198,21788.2704,-22531.4267070001,-18121.0267070001
41,100,20,1,portf.4,LSU,213,97,14199.406312,53.5454258969066,-274.60224,18201.6,-6607.14818400005,61945.887234,-56751.980922,2700.80510931333,14.4329896907216,85.5670103092783,1.09151938359893,4424.706231,2313.15445,-683.758806289157,-407.027699999998,53.5454258969066,-274.60224,2700.80510931333,0.314723665798169,-26566.3372400001,0.534488672025906,6.47115063133654,5.6830393852802,14757.406312,-13150.193688,14199.406312
42,100,20,1,portf.4,NG,237,118,-26418.76753,-257.108199406779,-554.133415,9990,-10719,53510.9294,-83849.6969299999,2093.72087874755,11.864406779661,88.135593220339,0.638176777724938,3822.20924285714,3191.5,-806.247085865384,-636.120519999998,-257.108199406779,-554.133415,2093.72087874755,-1.94938407283647,-32719.20645,-0.807439128157705,4.74074177738525,5.01713103045318,267.863550000034,-32719.20645,-26418.76753
